category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
에센스/세럼/앰플,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219412&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1,메디힐,메디힐 마데카소사이드 흔적 리페어 세럼 40,,36900,,,
에센스/세럼/앰플,1,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223212&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=2,아이소이,아이소이 브라이트닝 잡티로즈세럼,아이&미간패치 1세트,54000,20ml,,
에센스/세럼/앰플,1,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219088&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=3,토리든,토리든 다이브인 저분자 히알루론산 세럼,50ml 리필+멀티 패드 20매,36000,50ml,,
에센스/세럼/앰플,1,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218948&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4,셀리맥스,셀리맥스 브라이트닝 모공잡티 세럼,10ml,32000,30ml,,
에센스/세럼/앰플,1,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214191&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=5,구달,구달 청귤 비타C 잡티케어 세럼  대용량 어워즈,,50000,120ml,,
에센스/세럼/앰플,1,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162035&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=6,웰라쥬,웰라쥬 리얼 히알루로닉 블루 100 앰플  1,,46000,150ml,,
에센스/세럼/앰플,1,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159280&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=7,차앤박,차앤박 프로폴리스 트리트먼트 앰플 에센스,CNP 150ml+50ml,40000,150ml,,
에센스/세럼/앰플,1,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219122&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=8,브링그린,브링그린 징크테카트러블세럼,,56100,50ml,,
에센스/세럼/앰플,1,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216734&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=9,필킨,필킨 포어솔루션 래디언스 세럼,,48000,30ml,,
에센스/세럼/앰플,1,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214290&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=10,메디큐브,메디큐브 연어 PDRN 핑크 앰플,30ml+30ml,46000,30ml,,
에센스/세럼/앰플,1,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219609&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=11,파티온,파티온 노스카나인 트러블 세럼  대용량,리필40ml+크림10ml,54000,50ml,,
에센스/세럼/앰플,1,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188240&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=12,성분에디터,성분에디터 그린토마토 모공앰플  1,,25900,30ml,,
에센스/세럼/앰플,1,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183731&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=13,VT,VT 리들샷 100 에센스,기획/단품,32000,50ml,,
에센스/세럼/앰플,1,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217589&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=14,성분에디터,성분에디터 실크 펩타이드 인텐시브 리프팅 앰플,,36000,35ml,,
에센스/세럼/앰플,1,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211086&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=15,이니스프리,이니스프리 비타민C 7일 톤업 세럼,리필팩 30ML,38000,30ML,,
에센스/세럼/앰플,1,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214021&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=16,토리든,토리든 다이브인 세럼  트리플 어워즈,다이브인 크림 20ml+다이브인 패드 10매,50000,50ml,,
에센스/세럼/앰플,1,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217603&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=17,차앤박,차앤박 프로폴리스 에너지 액티브 앰플  트리플,,74000,30ml,,
에센스/세럼/앰플,1,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210068&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=18,VT,VT 리들샷 300 에센스,리들샷 300 파우치 1ml*3ea,24900,30ml,,
에센스/세럼/앰플,1,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179119&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=19,셀라딕스,셀라딕스 세범 리밸런싱 RX 131 앰플,,28900,,,
에센스/세럼/앰플,1,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214160&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=20,에스네이처,에스네이처 아쿠아 스쿠알란 세럼,50ml리필+수분크림10ml,35000,50ml,,
에센스/세럼/앰플,1,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218378&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=21,메디큐브,메디큐브 제로 원데이 엑소좀샷 모공앰플 7500,,24900,30ml,,
에센스/세럼/앰플,1,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184191&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=22,에스트라,에스트라 아토베리어365 하이드로에센스,크림 30ml+무기자차선크림3ml 증정,32000,200ml,,
에센스/세럼/앰플,1,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218853&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=23,닥터지,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼,,33000,50ml,,
에센스/세럼/앰플,1,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182627&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=24,넘버즈인,넘버즈인 3번 보들보들 결 세럼,3번 결 세럼팩,38000,80ml,,
에센스/세럼/앰플,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205169&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=25,바이오더마,바이오더마 하이드라비오 에센스로션,더블 기획,54000,200ml,,
에센스/세럼/앰플,2,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156315&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=26,바이오더마,바이오더마 하이드라비오 세럼,40ml+40ml,52000,40ml,,
에센스/세럼/앰플,2,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203803&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=27,리쥬란,리쥬란 힐러 턴오버 앰플 듀얼 이펙트,앰플 7ml+더마힐러크림10g+더마힐러마스크2매,59000,30ml,,
에센스/세럼/앰플,2,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219550&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=28,아비브,아비브 글루타치온좀 잡티 세럼 비타 드롭,20ml,32000,50ml,,
에센스/세럼/앰플,2,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184064&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=29,넘버즈인,넘버즈인 5번 글루타치온C 흔적 앰플,패드 6매 증정,28000,30ml,,
