category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
로션 > 로션,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212580&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=1,에스트라,에스트라 아토베리어365 로션 대용량,30ml+세라-히알 앰플 7ml,59400,300ml,,
로션 > 로션,1,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206352&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=2,온그리디언츠,온그리디언츠 스킨 베리어 카밍 로션,220ml+80ml,39900,220ml,,
로션 > 로션,1,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210413&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=3,에스트라,에스트라 아토베리어365 로션,에센스 25ml + 리제덤 세럼 7ml 2409,33000,150ml,,
로션 > 로션,1,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212588&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=4,제로이드,제로이드 인텐시브 로션,크림 25ml,32000,160ml,,
로션 > 로션,1,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137834&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=5,비오템,비오템 라이프 플랑크톤 피부강화 에센스 인 로션,,98000,75ml,,
로션 > 로션,1,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161508&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=6,라운드랩,라운드랩 1025 독도 로션,,39000,400ml,,
로션 > 로션,1,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216366&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=7,피지오겔,피지오겔 DMT 페이셜 로션,,38000,200ml,,
로션 > 로션,1,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209904&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=8,제로이드,제로이드 수딩 로션,,30000,160ml,,
로션 > 로션,1,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163494&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=9,라운드랩,라운드랩 포 맨 자작나무 수분 로션,,24000,200ml,,
로션 > 로션,1,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216367&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=10,피지오겔,피지오겔 레드수딩 AI 로션,,37500,200ml,,
로션 > 로션,1,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188948&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=11,한율,한율 빨간쌀 보습탄력 에멀젼,,43000,125ml,,
로션 > 로션,1,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198321&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=12,에스트라,에스트라 아토베리어365 로션,,33000,150ml,,
로션 > 로션,1,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215009&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=13,비오템옴므,비오템옴므 아쿠아파워 어드밴스드 젤 PRO,,92000,100ml,,
로션 > 로션,1,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145576&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=14,라운드랩,라운드랩 1025 독도 로션,50ml,20000,200ml,,
로션 > 로션,1,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211140&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=15,아누아,아누아 어성초 70 데일리 로션,,28000,200ml,,
로션 > 로션,1,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198539&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=16,닥터지,닥터지 더모이스처 배리어 D 로션,멀티밤 1g,37000,300ml,,
로션 > 로션,1,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189589&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=17,헤라,헤라 하이드로 리플렉팅 플루이드,,58000,140ml,,
로션 > 로션,1,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000142618&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=18,크리니크,크리니크 포맨 맥시멈 하이드레이터 72-아워 오토-리플레니싱 하이드레이터,,49000,,,
로션 > 로션,1,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203247&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=19,바이오힐보,바이오힐보 프로바이오덤 3D 리프팅 에멀전,,29000,150ml,,
로션 > 로션,1,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205392&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=20,피지오겔,피지오겔 시카밸런스 포맨 카밍 플루이드,,38000,100ml,,
로션 > 로션,1,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214176&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=21,키엘,키엘 울트라 훼이셜 모이스춰라이저,,53000,125ml,,
로션 > 로션,1,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184789&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=22,라운드랩,라운드랩 소나무 진정 시카 로션,,25000,250ml,,
로션 > 로션,1,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206934&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=23,아벤느,아벤느 트릭세라 뉴트리-플루이드 로션    *윤광 *광채 크림,더블 기획,44000,200ml,,
로션 > 로션,1,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144041&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=24,폴라초이스,폴라초이스 스킨 발란싱 수분 젤,,53000,60ml,,
로션 > 로션,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141319&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=25,디오디너리,디오디너리 비타민C 서스펜션 23%,,12300,30ml,,
로션 > 로션,2,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187655&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=26,헤라,헤라 옴므 에센스인에멀전,,42000,110ML,,
로션 > 로션,2,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201011&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=27,식물나라,식물나라 뽀얀쌀 맑은톤 로션 300mL,,15800,,,
로션 > 로션,2,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163655&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=28,닥터지,닥터지 더모이스처 배리어 D 로션,,34000,200ml,,
로션 > 로션,2,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183744&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=29,한율,한율 어린쑥 수분진정 플루이드,,32000,125ml,,
로션 > 로션,2,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199665&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=30,리얼베리어,리얼베리어 익스트림 로션,50ml,30000,150ml,,
로션 > 로션,2,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204881&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=31,AHC,AHC 콜라 쥬비네이션 리프트4 트리트먼트 에멀젼,,30000,100ml,,
로션 > 로션,2,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209419&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=32,제로이드,제로이드 인텐시브 로션,,32000,160ml,,
로션 > 로션,2,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199154&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=33,라운드랩,라운드랩 포 맨 소나무 진정 시카 로션,,25000,200ml,,
