category,page,index,link,brand_name,product_name_clean,gift,price,volume,bottle_type,ingredients
미스트/오일,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179685&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=1,달바,달바 퍼스트 스프레이 세럼,,59800,100ml,,
미스트/오일,1,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213148&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=2,에스네이처,에스네이처 아쿠아 스쿠알란 미스트,,27000,100ml,,
미스트/오일,1,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189004&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=3,바이오힐보,바이오힐보 판테셀 리페어시카 크림미스트 120mL,,25200,,,
미스트/오일,1,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217605&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=4,차앤박,차앤박 프로폴리스 앰플 미스트,250ml+250ml,27000,250ml,,
미스트/오일,1,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130138&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=5,에스트라,에스트라 아토베리어365 크림미스트,,23000,120ml,,
미스트/오일,1,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206560&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=6,에센허브,에센허브 티트리 100 오일  1,10ml+10ml+면봉 50ea,19800,10ml,,
미스트/오일,1,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000220688&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=7,한율,한율 어린쑥 트러블 진정 미스트,어린쑥 미스트 120ml 리필,25000,120ml,,
미스트/오일,1,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000142457&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=8,달바,달바 화이트 트러플 바이탈 스프레이 세럼,,29000,100ml,,
미스트/오일,1,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170881&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=9,에스테덤,에스테덤 셀룰러 워터 미스트,,49000,200ml,,
미스트/오일,1,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212467&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=10,바이오힐보,바이오힐보 판테셀 리페어시카 크림미스트 120mL,,25200,,,
미스트/오일,1,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213916&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=11,더하르나이,더하르나이 시카이드 크림 미스트,,26000,120ml,,
미스트/오일,1,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166510&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=12,차앤박,차앤박 프로폴리스 에너지 앰플 미스트,,26000,250ml,,
미스트/오일,1,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115511&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=13,달팡,달팡 카모마일 아로마틱 케어,,82000,15ml,,
미스트/오일,1,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000117163&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=14,이즈앤트리,이즈앤트리 히아루론산 워터 미스트,,16500,,,
미스트/오일,1,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016697&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=15,아벤느,아벤느 오떼르말 미스트,,26000,300ml,,
미스트/오일,1,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192304&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=16,바이오힐보,바이오힐보 판테셀 리페어시카 앰플미스트 100mL,,26000,,,
미스트/오일,1,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165738&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=17,달바,달바 시그니처 오리지널 & 프리미엄 비건 미스트 세럼 기프트,,55000,,,
미스트/오일,1,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213998&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=18,셀라딕스,셀라딕스 스킨 밸런싱 pH 5.5 131 토너 미스트,,18300,120ml,,
미스트/오일,1,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010498&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=19,아벤느,아벤느 오 떼르말 미스트,,34000,300ml,,
미스트/오일,1,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199401&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=20,식물나라,식물나라 유채꿀 촉촉 멀티오일  30mL*2,,28800,,,
미스트/오일,1,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154819&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=21,차앤박,차앤박 프로폴리스 에너지 앰플 미스트,,16000,100ml,,
미스트/오일,1,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208208&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=22,아이다,아이다 글루타치온 브라이트닝 앰플 미스트,,32000,60ml,,
미스트/오일,1,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016694&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=23,아벤느,아벤느 오 떼르말 미스트,,10000,50ml,,
미스트/오일,1,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014358&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=24,유리아쥬,유리아쥬 오떼르말,300ml+300ml 더블 기획,31500,300ml,,
미스트/오일,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212393&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=25,눅스,눅스 윌 프로디쥬스 멀티 플로럴 오일,핸드 앤 네일 크림 15ml,35000,50ml,,
미스트/오일,2,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104102&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=26,로벡틴,로벡틴 인텐스 글로우 오일,,39000,30ml,,
미스트/오일,2,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213956&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=27,연작,연작 스킨 퍼펙팅 글로우 업 프렙 워터,,30000,50ml,,
미스트/오일,2,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010507&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=28,아벤느,아벤느 오 떼르말 미스트,150ml +150ml 더블 기획,25000,150ml,,
미스트/오일,2,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014357&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=29,유리아쥬,유리아쥬 오떼르말,150ml+150ml 더블 기획,24000,150ml,,
미스트/오일,2,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206576&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=30,원오브뎀,원오브뎀 카밍 샷 듀 드롭 미스트,,26000,150ml,,
미스트/오일,2,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216076&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=31,아비브,아비브 부활초 미스트 세럼 글로우 스프레이,,25000,100ml,,
미스트/오일,2,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141328&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=32,디오디너리,디오디너리 100% 오가닉 콜드-프레스드 로즈 힙 씨드 오일,,16600,30ml,,
미스트/오일,2,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016698&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=33,아벤느,아벤느 오 떼르말,,19000,150ml,,
미스트/오일,2,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189708&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=34,자트인사이트,자트인사이트 울트라 셋팅 진짜 픽서,,14900,50ml,,
미스트/오일,2,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002326&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=35,유리아쥬,유리아쥬 오떼르말,,8000,50ml,,
미스트/오일,2,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014960&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=36,에비앙,에비앙 브뤼미자뙤르 페이셜 스프레이,,16000,300ml,,
미스트/오일,2,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016213&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=37,트릴로지,트릴로지 써티파이드 오가닉 100% 로즈힙 오일,,30000,,,
미스트/오일,2,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104159&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=38,크리니크,크리니크 모이스춰 써지 페이스 스프레이,,38000,125ml,,
미스트/오일,2,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107076&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=39,쌍빠,쌍빠 어딕트 글로우 매직에센스,,19000,100ml,,
미스트/오일,2,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115500&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=40,닥터자르트,닥터자르트 시카페어 페이셜 카밍 미스트,,21000,150ml,,
미스트/오일,2,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132148&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=41,쏘내추럴,쏘내추럴 리얼 매트 메이크업 세팅 픽서,,19000,75ml,,
