category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
패드,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219242&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=1,메디힐,메디힐 마데카소사이드 흔적 패드 100,,39900,100매,,
패드,1,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=2,메디힐,메디힐 네모패드 100,,39900,200매,,
패드,1,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185132&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=3,스킨푸드,스킨푸드 캐롯 카로틴 카밍 워터 패드,"10매, 캐롯시트 1매 증정",26000,60매,,
패드,1,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215305&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=4,바이오던스,바이오던스  겔 토너 패드,4매 증정 콜라겐/세라놀,26000,60매,,
패드,1,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207389&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=5,메디큐브,메디큐브 제로모공패드 2.0,70매 + 70매 리필,33000,140매,,
패드,1,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171426&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=6,메디힐,메디힐 네모패드  피부 고민별 골라담기,,26000,100매,,
패드,1,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160796&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=7,라운드랩,라운드랩 자작나무 수분 패드,80매+80매 더블 기획,34000,80매,,
패드,1,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219555&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=8,아비브,아비브 어성초 흔적 에센스 패드 클리어터치,,40000,140매,,
패드,1,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177758&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=9,넘버즈인,넘버즈인 토너패드  4종 중 택 1,1번/3번/4번/5번,26000,,,
패드,1,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189175&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=10,구달,구달 청귤 비타C 잡티케어 패드,70매+70매 리필,38000,140매,,
패드,1,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216739&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=11,필킨,필킨 포어솔루션 클리어 패드,,35000,70매,,
패드,1,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185099&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=12,브링그린,브링그린 티트리시카트러블수딩토너패드,,37800,90매,,
패드,1,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167387&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=13,코스알엑스,코스알엑스 원스텝 패드   3종 중 택1,,32000,180매,,
패드,1,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218012&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=14,더마토리,더마토리 살리시닉 포어 클리어 블랙 모공 패드,,26000,70매,,
패드,1,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000169906&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=15,듀이트리,듀이트리 AC 딥 진정 모공 패드,기획/단품,24000,60매,,
패드,1,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161681&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=16,메디큐브,메디큐브 제로 모공 패드 2.0,,24500,70매,,
패드,1,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173588&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=17,토리든,토리든 다이브인 멀티패드,멀티패드 10매,23000,80매,,
패드,1,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216086&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=18,아누아,아누아 어성초 77 클리어 패드 입,,34500,100매,,
패드,1,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219719&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=19,메디큐브,메디큐브 PDRN 핑크 콜라겐 겔 토너 패드,,24500,70매,,
패드,1,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219564&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=20,구달,구달 어성초 히알루론 수딩 클리어 패드,70매 리필,38000,70매,,
패드,1,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146623&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=21,셀리맥스,셀리맥스 어성초 바하 지우개 필링 패드,,17000,60매,,
패드,1,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213151&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=22,프리메라,프리메라 마일드 앤 퍼펙트 포어 필링 패드,,29000,60매,,
패드,1,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167392&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=23,스킨1004,스킨1004 마다가스카르 센텔라 퀵카밍 패드,,21000,,,
패드,1,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219425&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=24,스킨푸드,스킨푸드 감자 마데카소사이드 수딩 패드,"10매, 감자시트 1매",26000,60매,,
패드,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167203&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=25,셀퓨전씨,셀퓨전씨 포스트 알파 쿨링 패드,,23000,70매,,
패드,2,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188191&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=26,토리든,토리든 밸런스풀 시카 토너 패드,60매+60매 리필,38000,60매,,
패드,2,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162249&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=27,아누아,아누아 어성초 77 모공쫀쫀 패드,70+70매 리필,45000,70매,,
패드,2,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207888&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=28,아누아,아누아 어성초 77 모공쫀쫀 패드,,45000,70매,,
패드,2,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204311&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=29,바이오힐보,바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드,세럼13ml증정,28000,13ml,,
패드,2,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209924&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=30,브링그린,브링그린 슈퍼레몬글루타치온토너패드,90매,37800,90매,,
패드,2,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000110262&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=31,스트라이덱스,스트라이덱스 센시티브 패드,90매+90매 더블 기획,26700,90매,,
패드,2,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188794&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=32,이즈앤트리,이즈앤트리 어니언 뉴페어 클리어 패드,20매 리필 증정기획,26000,60매,,
패드,2,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165144&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=33,코스알엑스,코스알엑스 원스텝 패드  3종 중 택1,,19000,90매,,
패드,2,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218011&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=34,더마토리,더마토리 시카 엑소좀 흔적 진정 거즈 패드,,26000,70매,,
