category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
스킨/토너,1,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174370&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=1,바이오더마,바이오더마 하이드라비오 토너,,38000,500ml,,
스킨/토너,1,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180474&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=2,토리든,토리든 다이브인 저분자 히알루론산 토너,화장솜 60매 증정,29000,500ml,,
스킨/토너,1,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217582&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=3,라네즈,라네즈 크림스킨,170ml 리필+미스트펌프 증정,33000,170ml,,
스킨/토너,1,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213907&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=4,아누아,아누아 어성초 수딩 토너,스누피솜20매+복숭아마스크1매,49000,350ml,,
스킨/토너,1,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159921&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=5,라로슈포제,라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너,,36000,200ml,,
스킨/토너,1,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219097&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=6,라운드랩,라운드랩 1025 독도 토너  1,동백 선세럼 1.5ml+해달이파우치,29800,300ml,,
스킨/토너,1,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170266&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=7,토리든,토리든 다이브인 저분자 히알루론산 토너,100ml 추가 증정,21000,300ml,,
스킨/토너,1,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213171&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=8,에스네이처,에스네이처 아쿠아 오아시스 토너,젤크림 30ml,24000,300ml,,
스킨/토너,1,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137180&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=9,라운드랩,라운드랩 1025 독도 토너,100ml,30000,500ml,,
스킨/토너,1,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173589&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=10,넘버즈인,넘버즈인 3번 결광가득 에센스 토너  대용량,,32000,300ml,,
