reviewer_name,reviewer_introduce,reviewer_type,top_reviewer_field,brand_name,product_name,product_option,score,date,purchase_store,used_over_month,is_repurchase,is_experience,review,help_count
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",디오디너리,디오디너리 나이아신아마이드 5% 페이스 앤 바디 에멀전 100ml,,5점만점에 5점,작성일자 2024.11.10,N,N,N,Y,가볍고 끈적임이 없어 데일리로 사용하기 좋은 에멀전! # 디오디너리 나이아신아마이드5% 페이스앤바디 에멀전 ☑️ 이 제품을 올영체험단으로 선택하게 된 이유! ➡️ 이번에 바디 로션을 거의 다 사용해서 필요했었는데 마침 리스트에 있길래 선택했어요! 특히 디오디너리는 세럼으로도 유명해서 잘 알고 있었거든요! 지금도 만족하며 잘 사용 중입니다! ☑️ 제품 특징 ➡️ 나이아신아마이드5% 함유로 피부 미백 케어 도움 ☑️ 전체적인 사용후기 ✔️ 향은 무향입니다! ✔️ 제형은 가벼운 로션제형이에요! ✔️ 꾸준히 사용했을 때 피부 결 개선애 도움이 되는 것 같아요! ✔️ 가격대비 괜찮아서 내돈내산 예정 있습니다 ✔️ 20가지 주의성분 1개 알레르기 유발성분 0개 입니다! 🤍 추천 드립니다 🤍 ➡️ 모든 피부용 ➡️ 바디 로션 찾으시는 분,0
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",조선미녀,[쿨링진정] 조선미녀 맑은쌀 선크림 아쿠아프레쉬 50ml,,5점만점에 5점,작성일자 2024.10.20,N,N,N,Y,가볍게 사용하기 좋은 선크림! # 조선미녀 맑은쌀 선크림 아쿠아 프레쉬 올영체험단 후기 입니다! ☑️ 이 제품을 올영체험단으로 선택하게 된 이유! ➡️ 저는 가볍고 워터리한 선크림을 선호하는데 마침 사용하던 선크림을 다 사용해서 조선미녀 제품으로 선택하게 되었습니다! 조선미녀가 선크림이 유명하더라구요! ☑️ 제품 특징 ➡️ 쌀수 30% + 판테놀 함유로 수분진정에 도움 ➡️ 가볍고 산뜻한 선크림 ☑️ 전체적인 사용후기 ✔️ 향은 무향입니다! ✔️ 제형은 가벼운 워터리한 에멀전 제형이에요! ✔️ 부드럽게 잘 펴 발려지고 흡수가 빠르고 잔여감이 없습니다! ✔️ 메이크업 전 사용하기 좋아요! ✔️ 거격대비 좋아서 다 사용하면 구매 하려고 해요! 💙 추천 드립니다 💙 ➡️ 지복합성 피부 ➡️ 가벼운 선크림 찾으시는 분,1
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",스킨푸드,[각질패드] 스킨푸드 샤인머스캣 시카 바하 토너패드 70매,,5점만점에 5점,작성일자 2024.10.17,N,Y,N,N,💚 스킨푸드 샤인머스캣 시카 바하 토너패드 한달 사용 리뷰 입니다! 💚 ☑️ 이 제품을 구매하게 된 이유! 저는 스킨푸드 당근 미나리 도토리 감자 등 다 사용보고 타 브랜드 토너패드도 종종 사용했지만 결국은 돌고 돌아 다시 스킨푸 드를 구매하게 되었습니다! 이번에는 샤인머스캣 토너패드가 새로 나와서 구매하게 되었습니다! ☑️ 제품 특징 ➡️ 2in1 엠보패드 샤인머스캣 추출물 + PHA + BHA 성분 함유로 데일리 각질케어 ☑️ 전체적인 사용 후기 ✔️ 향은 무향에 가까워요! 스킨푸드 토너패드 전체적으로 인위적 인 향이 아닌 자연 그대로의 냄새라 좋았어요! ✔️ 패드 자체는 역시나 도톰하고 크기는 큰편이에요! ✔️ 듀얼패드로 한쪽은 스킨팩 다른 한쪽은 피부결과 각질 케어 할 수 있습니다! ✔️ 패드 자체가 촉촉하지만 사용 후 금방 흡수되서 잔여감기 없어 요! ✔️20가지 주의성분 + 알레르기 유발성분 0개 💚추천 드립니다💚 ➡️ 모든피부용 ➡️ 데일리 각질 케아 패드 찾으시는 분,0
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",이너시아,[3월 올영픽/카이스트박사 PICK]이너시아 더 프리즘 유기농 생리대 5종 택 1,옵션 : 중형 8P,5점만점에 5점,작성일자 2024.10.17,N,Y,Y,N,🩷이너시아 더 프리즘 유기농 생리대 (중형) 한달 사용 리뷰 입니다!🩷 ☑️ 이 제품을 구매하게 된 이유! 저는 Wcare에 관심이 많아서 올리브영에 입점 되어 있는 다양한 브랜드의 생리대를 직접 구매해 서 사용해보려고 합니다! 이번 달에는 이너시아 브랜드의 생리대를 구매해봤는데요! 흡수가 정말 좋다고해서 궁금해서 구매했습니다! ☑️ 제품 특징 ✔️바이오 라보셀 흡수체 사용으로 강력한 흡수 ✔️ 100% 유기농 순면 (커버 + 날개+ 속) ☑️ 사용하면서 만족 했던 부분! ➡️ 우선 저는 보통 중소형 + 소형을 사용하는데 중형이라 약간 여유 있었어요! (양이 적음) ➡️ 팬티 부착력이 정말 좋았고 말리거나 날개가 떨어지는 일이 거의 없었습니다 ➡️ 흡수력도 이너시아가 자신감이 있듯이 제가 사용했던 브랜드 중에 제일 좋았습니다! ➡️ 패드 자체도 정말 부드럽고 자극도 하나도 없습니다! ➡️ 저는 이너시아로 정착할 의사 있습니다! ❤️추천 드립니다❤️ ➡️ 유기농 순면 생리대 찾으시는 분 ➡️ 흡수 + 부착력 정말 좋은 생리대 찾으시는 분,0
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",파파레서피,"[DAY6 PICK] 파파레서피 효소 파우더 클렌저 50g 3종 택1 (블레미쉬(광채), 가지(보습), 티트리(진정))",옵션 : 블레미쉬 50g,5점만점에 5점,작성일자 2024.10.01,N,N,N,N,데일리로 사용하기 좋은 효소 클렌저! # 파파레서피 효소 파우더 클렌져 블레미쉬 ☑️ 이 제품을 재 구매하게 된 이유! ➡️ 저는 복합성피부고 피부요철 좁쌀 여드름 조금 있어서 고민이였는데 효소 파우더 클렌져 사용하면서 피부결이 정말 많이 좋아졌어요! 그래서 오전에는 계속 계속 효소파우더 사용 중입니다! ☑️ 제품 특징 ➡️ 호두껍질가루 + 쌀가루 + PHA함유로 데일리 각질케어 가능 ➡️ 약(미)산성 클렌저 ☑️ 전체적인 사용후기 ✔️ 향은 고소한 곡물 향이 납니다! ✔️ 제형은 되게 고운 가루 제형이에요! ✔️ 처음에 가루에 소량의 물을 섞어서 얼굴 각질 정돈 하고 물이 닿았을때 부드러운 거품으로 변하는데 굉장히 얼굴이 시원하고 깨끗해지는 느낌을 받아서 너무 좋았어요! ✔️ 20가지 주의성분 1개 + 알레르기 유발성분 0개 🤍 추천 드립니다 🤍 ➡️ 모든 피부타입 ➡️ 데일리 저자극 각질케어 하고싶으신 분,2
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",투쿨포스쿨,[2024 어워즈/7년연속1위] 투쿨포스쿨 바이로댕 쉐이딩,옵션 : [브라이트너기획] 1.5 뉴트럴,5점만점에 5점,작성일자 2024.09.30,N,N,N,N,올리브영 쉐딩 1등!! # 투쿨포스쿨 바아로댕 쉐이딩 1.5 뉴트럴 ☑️ 이 상품을 구매하게 된 이유! ➡️ 저는 계속 계속 투쿨포스쿨 쉐이딩을 사용 하고 있는데요! 처음에는 클래식만 쓰다가 모던 뉴트럴 순으로 사용하고 있어요! 뉴트럴이 자연스럽게 쉐딩 되는 것 같아 좋더라구요! ☑️ 제품 특징 ➡️ 3컬러 ( 클래식 / 모던 / 뉴트럴 ) 본인 피부에 맞게 사용 가능 ☑️ 전체적인 사용후기 ✔️ 향은 크게 없었습니다! ✔️ 고체형 펙트다 보니 사용하면 점점 가루날림이 생겨요! ✔️ 발색은 너무 진하지도 연하지도 않은 자연스러운 컬러에요! ✔️ 20가지 주의성분 + 알레르기 유발성분 0개 🤎 추천 드립니다! 🤎 ➡️ 모든 피부용 ➡️ 자연스러운 쉐이딩 찾으시는 분,1
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",글린트,[1+1/교차가능] 글린트 스틱 하이라이터 [속광/글로우 치크/블러셔 레이어링],옵션 : NEW 03 로지문,5점만점에 5점,작성일자 2024.09.30,N,N,N,N,누구나 사용하기 쉬운 스틱 하이라이터 # 스틱 하이라이터 로지문 ☑️ 이 상품을 구매하게 된 이유! ➡️ 저는 글린트 하이라이터를 굉장히 좋아하는데요! 이전에 듀이문 - 밀키문 순으로 사용했고 이번에는 로지문으로 구매하게 되었습니다! 저는 스틱 히이라이터가 펙트형 하이라이터보다 발색이 더 이쁜 것 같았어요!! ☑️ 제품 특징 ➡️ 끈적임 없이 얇게 밀착되는 슬림퍼팅텍스처 ➡️ 끈적임 없이 매끈한 윤기 광채 연출 ➡️ 총 3컬러로 선호하는 컬러 구매 가능 ☑️ 전체적인 사용 후기 ✔️ 향은 크게 없었습니다! ✔️ 제형은 고체 스틱 형입니다! ✔️ 부드럽게 잘 발려지고 생각보다 뭉침이 없도 발색이 좋아요! ✔️듀이문 밀키문 로지문 다 너무 예쁜 것 같아요! ✔️ 재구매의사 있습니다! 🩷 추천 드립니다! 🩷 ➡️ 모든 피부용 ➡️ 메이크업 초보자 ➡️ 스틱하이라이터 찾으시는 분,1
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",클로란,클로란 샴푸 400ml 7종 (모발강화/두피진정/쿨링/두피 스케일링/비듬/손상/염색) 중 택1,옵션 : 피오니샴푸,5점만점에 3점,작성일자 2024.09.13,N,Y,N,N,🩷 클로란 피오니 샴푸 한달 사용 리뷰 입니다! 🩷 ☑️ 이 제품을 구매하게 된 이유! 여름이 다가오면서 지성 + 민감성 두피여서 확실히 유분감 피지가 올라오는 것 같아서 쿨링 샴푸를 찾다가 클로란 아쿠아민트 샴푸랑 팩을 같이 구매해서 사용했는데 너무 좋아서 이번에는 민김성 두피용인 피오니로 구매하게 되었습니다! ☑️ 제품 특징 ➡️ 피오니 추출물 함유로 민감한 두피 진정 및 가려움 완화에 도움 ➡️식물유래 보습성분으로 모발 수분 보습에 도움 ☑️ 사용하면서 만족 했던 부분! ➡️향은 은은한 플로럴 향이 납니다! ➡️제형은 묽은 워터 젤 제형이에요! 그래서인지 거품이 풍성하게 잘납니다! ➡️사용 후 두피는 시원하고 잔여감없이 좋고 아쿠아민 트는 모발이 빳빳해졌다면 피오니는 부드러워요! ➡️ 지루성 두피 였는데 클로란 제품 사용하면서 염증이 많이 가라앉아 이제는 조금 만 남아있습니다! 더 나지는 않아요! 근데 저는 개인적으로 아쿠아민트가 더 좋았어요!! 😊추천 드립니다😊 ➡️모든 두피용 ➡️민감한 두피로 저자극 헤어케어 상품 찾으시는 분,3
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",토리든,[3월올영픽/1+1] 토리든 올인원 모델링 팩 2종(히알루론산/시카),옵션 : 다이브인 히알루론산 모델링 팩,5점만점에 4점,작성일자 2024.09.09,N,Y,N,N,💙 토리든 올인원 모델링 팩 (히알 루론산) 한달 사용 리부 입니다! 💙 ☑️ 이 제품을 구매하게 된 이유! ➡️ 저는 복합성 피부입니다! 모닝스킨케어 + 나이트 스킨케어 전부 토리든 제품을 사용 하고 있는데요! 이번에 모델링팩이 출시 되었다고해서 바로 구매하게 되었습니다! ☑️ 제품 특징 ➡️ 5D 복합 히알루론산 함유로 수분 진정에 도움 즉각적인 쿨링효과 ☑️ 사용하면서 만족 했던 부분! ➡️ 제형은 일반적인 모델링 팩 제형이에요! 바를땐 묽은 팩인데 금새 굳어서 고무 팩처럼 되요! ➡️ 누구나 사용하기 쉽고 집에서도 피부과에서 관리 받는 것처럼 사용 할 수 있어서 좋아요! ➡️처음에 팩을 바를 땐 차가운 느낌인데 20-25분 정도 지난 후 굳어져서 떼어내면 잔여감 없이 피부가 시원하고 엄청 뽀도독해져서 피부 자체가 청소된 느낌이 들 어요! ➡️ 20가지 주의성분 + 알레르기 유발성분 0개 😊추천드립니다😊 ➡️ 모든피부용 ➡️사용하기 쉬운 모델링팩 찾으시는 분 ➡️에스테틱에서 받은 관리 홈에서도 받고 싶으신 분,1
다블리,"❣️탑리뷰언서 1기 활동, ❣️여쿨 밝은 21호, ❣️ 지성 + 민감성 두피, ❣️ 올리브영 매니아 올영언니, ➡️ ___63cm___ instagra","복합성, 여름쿨톤, 모공, 블랙헤드","바디케어, 스킨케어 분야 탑리뷰어",넛세린,[한혜진 PICK]넛세린 아로마 넛 슬림 핏 바디로션 200ml,,5점만점에 5점,작성일자 2024.09.09,N,Y,N,N,🩷 넛세린 아로마 넛 슬림 핏 바디로션 한달 사용 리뷰 입니다! 🩷 ☑️ 이 제품을 구매하게 된 이유! ➡️ 얼마전 방송에서 모델 한혜진님이 이 제품을 사용하는거 보고 올리브영에서 찾아봤는데 입점이 안되있더라구요 ㅠㅠ 그래서 다른 바디 제품 사용하고 있었는데! 이번에 입점되서 궁금해서 바로 구매하게 되었습니다! 추가로 저는 본식 앞두고 있는 예신인데요! 다이어트 하면서 혹시나 살이 틀까 쳐질까 싶어서 로션 사용하면서 괄사로 마사지 해주고 있어요! ☑️ 제품 특징 ➡️ 셀룰라이트 관리 특허 원료 함유 ➡️ 넛세린 자연유래 독자보습 성분 함유! ☑️ 사용하면서 만족 했던 부분!! ➡️향은 은은한 아로마향이 나는데 잠자기 전에 바르면 향이 너무 좋아서 잠도 금방 자요! ➡️ 제형은 묽은 로션 제형이라 부드럽게 잘 발려지고 사용 할 때 마사지 혹은 괄사를 사용해서 바르고 있는데 한달 정도 꾸준히 사용했는데 확실히 늘어져있던 피부가 약간 탄탄하게 올라오는 것 같아요!! 😊추천 드립니다😊 ➡️쳐지는 살 케어하고 싶으신 분 ➡️급찐급빠로 바디에 셀룰라이트 자국이 보이는 분 ➡️마사지 크림 혹은 로션 찾으시는 분,1
