reviewer_name,reviewer_introduce,reviewer_type,top_reviewer_field,brand_name,product_name,product_option,score,date,purchase_store,used_over_month,is_repurchase,is_experience,review,help_count
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,딜라이트 프로젝트,딜라이트 프로젝트 프로틴 베이커리칩 100g 2종 택1 (브라우니/카스테라),옵션 : 프로틴 카스테라칩 100g,5점만점에 3점,작성일자 2025.02.12,N,N,N,N,맛있다길래 궁금해서 구매했어요. 사무실에서 자꾸 군것질을 하는데 건강상 너무 안좋겠다 싶더라구요. 그래서 비교적 건강에 덜 나쁠 것 같은 요 제품 구매해봤어요. 맛있으면 좋겠네요.,0
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,딜라이트 프로젝트,딜라이트 프로젝트 스트로베리 빨미까레 28g,,5점만점에 4점,작성일자 2025.02.12,N,N,N,N,맛있어요. 부스러기 많이 떨어지긴 한데 비교적 칼 로리도 괜찮고 맛도 새콤한 딸기맛과 단 맛이 어우러져서 맛있어요. 부스러기가 어쩔 수 없긴 한데 잘 받치고 먹어야해요ㅋㅋ,0
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,VT,[모공/밀착] VT 리들샷 100 2스텝 마스크 1매,,5점만점에 5점,작성일자 2025.02.08,N,Y,Y,N,"리들샷이라 자극 0은 아닌데, 팩이랑 쓰고나면 피부 진짜 너무너무 좋아져요. 리들샷으로 효과 느껴본 적 없는 사람인데, 이건 그냥 쓰면 그때부터 이틀 피부 전성기 만날 수 있어요. 성분 순하고 팩 덕분에 피부 자극이나 붉어짐도 없어요.",0
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,매드피치,매드피치 무드 믹스 크림 블러셔 11종,옵션 : [하이라이터 기획] 블루밍 플러쉬,5점만점에 4점,작성일자 2025.02.08,N,Y,N,N,😘 발림성 좋고 대충발라도 얼룩 잘 안생겨요. 😘 색감은 맑은 딸기우유인데 피부와 어우러져서 과하지 않은 흰기가 예쁘게 퍼지듯 발색돼요. 😘 맑고 화사한 색이지만 덧발르면 더 쿨한 핑크 블러셔로 표현할 수 있어요. 😍 촉촉 블러셔치고 지속력 길어요. 😘 양은 뭐. 아무리 써도 안 줄어요ㅋㅋ,0
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,오센트,오센트 퍼퓸샤쉐 6종 택 1,옵션 : 퍼퓸샤쉐 러브,5점만점에 4점,작성일자 2025.02.08,N,Y,Y,N,전 유명한 소프트보다 러브가 더 취향에요. 물론 둘 다 크게 취향 안탈 향입니다. 향은 한달정도가 옷에도 좀 밸 정도라 한달~두달 주기로 교체하는 게 좋을 것 같아요. 할인 잦았으면 좋겠어요ㅋㅋ 그만큼 마음에 들거든요.,0
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,바이탈뷰티,[하트키링증정] 바이탈뷰티 X 슈퍼레티놀C 30포 한정기획,옵션 : 30포+바비 하트거울키링,5점만점에 4점,작성일자 2025.02.08,N,Y,N,N,비타민은 확실히 먹다가 끊으면 한달이내로 낯빛이 누렇게 되더라구요. 이건 맛과 향이 역하지 않아서 맛있고 너무 시지도 않아요. 약간 가루약스러운 맛이 좀 나긴 하는데 먹다보면 익숙해져요. 근데 덤 거울은 너무 별로... 가방에 달았다가 임산부 오해 받았어요ㅠ,3
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,헤어플러스,[NEW] 헤어플러스 단백질 본드 앰플 페어앤프리지아 70ml 2입,,5점만점에 4점,작성일자 2025.01.26,N,N,N,Y,★ 솔직 장단점 리뷰 ★ - 이미 이전에 카카오에디션으로 구매해서 쓰고있던 제품인만큼 오래써왔고 장단점도 솔직하고 정확하다고 확신합니다. ★ 별점 3.5점 - 향 좋음(산뜻+플로럴계 향+너무 과한 꽃향기나 여자향수냄새 전혀아님) - 향 지속력은 쏘쏘한 편 - 손에 짜서 쓰는게 아쉽지만 손에 크게 끈적임 남지 않음 - 대충 발라도 크게 떡지지않음 (당연히 뭉치거나 과하게 바르면 떡지는 제형) - 크게 머릿결 좋아지는 효과는 없음 (적당히 정전기 잡아주는 정도) - 가성비 괜찮은 편 (양은 많지 않으나 은근 오래씀. 뿌리는 타입보다는 양조절이 어렵고 금방 사용),0
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,롯데,제로 시트러스 유자젤리 40g,,5점만점에 3점,작성일자 2025.01.11,N,N,N,N,요즘 일하면서 군것질을 너무 많이 먹어서... 건강이 걱정되더라구요. 입도 심심하고 스트레수 받다보니 안먹지는 못하겠고ㅠ 그나마 저당이나 건강식으로 바꿔보려고 이것저것 구매해보고 있어요.,1
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,에스트라,에스트라 더마UV365 레드진정 톤업 선크림 40ml 기획 (+무기자차 선크림 20ml),,5점만점에 3점,작성일자 2025.01.11,N,N,N,N,"😘 첫인상 리뷰 & 성분(화해앱 캡쳐) 😧 기존에 에스트라 선크림 너무 잘썼던 지라 핑크버전도 궁금해서 구매해봤어요. 😘 발림성 무기자차 특유의 뻑뻑함과 뭉침이 거의 없어요. 😘 백탁 핑크버전은 아직 안써봤고, 하얀 버전은 백탁 당연히 있고 화이트닝도 오래가요. 따로 쿠션 안발라도 될 정도의 하얌입니다. 다만 무기자차 선크림 특유의 회빛이나 굉장히 부자연스러운 그런 백탁 아니라서 좋아요. 오히려 화이트닝크림처럼 자연스럽지만 좀 많이 하얗게되는? 느낌입니다. 🤔 성분 성분 당연히 비슷하겠거니 했더니 제가 안좋아하는 애씨드 계열이 많이 들어있네요ㅠ 확인 안하고 한 제 탓이지만 아쉬워요. 트러블 안나기를 바라야겠어요. 🤔 가격 가격이 가성비있거나 저렴한 편은 아닙니다.",4
올챙이포뇨,"스킨케어, 피부 홈케어에 관심 많아요😊, 솔직 리뷰🤙, 별 1개(별로), 2개(장점<단점), 3개(평범.재구매는 굳이?), 4개(좋지만+더 좋은게 있을지도?) ,5개(대만족+정착)","건성, 봄웜톤, 미백, 민감성",스킨케어 분야 탑리뷰어,리브러쉬,리브러쉬 무알콜 구강 스프레이 15ml 2종 택1,옵션 : [스트롱]리프레쉬구강 스프레이,5점만점에 3점,작성일자 2025.01.11,N,N,N,N,기존에 가글도 잘 썼던 터라 스프레이도 구매해봤어요. 가글이 냄새도 잘 잡고 오래쓸 수 있긴 하지만 희석해야하고 바로 쓸 수 없다는 단점도 있으니까요! 입이 마르지 않기를 바랍니다.,0
